Data values,Data values_sort,Data description,Data description_reference,Data description_sort,Data description_hierarchy,Date,Date_reference,Date_sort,Date_hierarchy,Area,Area_reference,Area_sort,Area_hierarchy,Register,Register_reference,Register_sort,Register_hierarchy,Notes
"5,953",5953,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Monmouthshire South,CC607,64,W11000028,Obesity (patients aged 16+),OB,16,,
"83,763",83763,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Newport East,CC609,66,W11000028,Patients registered at GP practice,LIST,1,,
"9,543",9543,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Newport East,CC609,66,W11000028,Obesity (patients aged 16+),OB,16,,
"87,979",87979,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Newport West,CC610,67,W11000028,Patients registered at GP practice,LIST,1,,
"9,935",9935,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Newport West,CC610,67,W11000028,Obesity (patients aged 16+),OB,16,,
"48,770",48770,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Torfaen North,CC611,68,W11000028,Patients registered at GP practice,LIST,1,,
"7,001",7001,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Torfaen North,CC611,68,W11000028,Obesity (patients aged 16+),OB,16,,
"49,897",49897,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Torfaen South,CC612,69,W11000028,Patients registered at GP practice,LIST,1,,
"6,153",6153,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Torfaen South,CC612,69,W11000028,Obesity (patients aged 16+),OB,16,,
"30,264",30264,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Mid Powys,CC701,70,W11000024,Patients registered at GP practice,LIST,1,,
"3,670",3670,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Mid Powys,CC701,70,W11000024,Obesity (patients aged 16+),OB,16,,
"66,509",66509,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,North Powys,CC702,71,W11000024,Patients registered at GP practice,LIST,1,,
"9,047",9047,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,North Powys,CC702,71,W11000024,Obesity (patients aged 16+),OB,16,,
"45,487",45487,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,South Powys,CC703,72,W11000024,Patients registered at GP practice,LIST,1,,
"5,891",5891,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,South Powys,CC703,72,W11000024,Obesity (patients aged 16+),OB,16,,
"8,558",8558,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Aber Medical Centre,W00005,77,CC605,Patients registered at GP practice,LIST,1,,
869,869,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Aber Medical Centre,W00005,77,CC605,Obesity (patients aged 16+),OB,16,,
"8,419",8419,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Caritas Surgery,W00007,78,CC113,Patients registered at GP practice,LIST,1,,
"1,458",1458,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Caritas Surgery,W00007,78,CC113,Obesity (patients aged 16+),OB,16,,
"2,324",2324,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Uwchaled Medical Practice,W00065,79,CC105,Patients registered at GP practice,LIST,1,,
429,429,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Uwchaled Medical Practice,W00065,79,CC105,Obesity (patients aged 16+),OB,16,,
"22,939",22939,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Argyle Medical Group,W00067,80,CC206,Patients registered at GP practice,LIST,1,,
"3,375",3375,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Argyle Medical Group,W00067,80,CC206,Obesity (patients aged 16+),OB,16,,
"17,635",17635,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Bradley's Practice,W00076,81,CC110,Patients registered at GP practice,LIST,1,,
